id|side|entry|exit|entry_ct|exit_ct|realized|pnl_corr|fee|close_reason|source|mae|mfe|band|scen|plan_matched|grade|entry_order_id|note
587|LONG|29079.25|29048.0|2026-09-02 00:17:44|2026-09-02 01:03:41|-62.5|-62.5|0.0|sync|system|33.0|25.75||S3|1|B|<nil>|T7 close-path: pnl_corrected = recompute (Δ+0.00 vs realized
588|LONG|29082.5|29050.0|2026-09-02 07:41:05|2026-09-02 07:51:38|-65.0|-65.0|0.0|sync|system|33.25|0.0||S2|1|B|<nil>|T7 close-path: pnl_corrected = recompute (Δ+0.00 vs realized
589|LONG|29192.5|29115.0|2026-09-02 09:41:04|2026-09-02 09:59:27|-155.0|-155.0|0.0|sync|system|80.5|10.25||S3|1|A|<nil>|T7 close-path: pnl_corrected = recompute (Δ+0.00 vs realized
590|LONG|29193.25|29143.75|2026-09-02 10:37:17|2026-09-02 10:49:30|-99.0|-99.0|0.0|sync|system|49.75|1.0||S4|1|A|<nil>|T7 close-path: pnl_corrected = recompute (Δ+0.00 vs realized
591|SHORT|29285.0|29355.0|2026-09-03 09:05:14|2026-09-03 09:20:45|-140.0|-140.0|0.0|sync|reconcile|75.0|43.5|armed_fill|S1|1|A|f2b1eb20|T7 close-path: pnl_corrected = recompute (Δ+0.00 vs realized

-- all era rows (>= 08-15) compact
id|side|entry|exit|entry_ct|exit_ct|pnl_corr|close_reason|source|mae|mfe|band|scen|session
581|SHORT|29466.0|29370.75|2026-09-01 02:52:44|2026-09-01 03:06:33|190.5|sync|system|2.5|73.5||S1|LONDON
582|SHORT|29246.75|29182.0|2026-09-01 05:23:28|2026-09-01 06:05:34|129.5|sync|armed_entry|11.25|69.25||S2|LONDON
583|LONG|29213.25|29172.0|2026-09-01 06:35:04|2026-09-01 06:56:47|-82.5|sync|system|43.25|25.0||S2|LONDON
584|SHORT|29138.0|29085.0|2026-09-01 08:36:47|2026-09-01 08:38:19|106.0|sync|reconcile|0.0|58.0|armed_fill|S2|LONDON
585|SHORT|29182.0|29220.75|2026-09-01 09:31:08|2026-09-01 09:40:40|-77.5|sync|armed_entry|38.75|0.0||S1|NY
586|LONG|29082.75|29055.75|2026-09-01 13:33:06|2026-09-01 13:41:14|-54.0|sync|reconcile|27.5|0.0|armed_fill|S3|NY
587|LONG|29079.25|29048.0|2026-09-02 00:17:44|2026-09-02 01:03:41|-62.5|sync|system|33.0|25.75||S3|ASIA
588|LONG|29082.5|29050.0|2026-09-02 07:41:05|2026-09-02 07:51:38|-65.0|sync|system|33.25|0.0||S2|LONDON
589|LONG|29192.5|29115.0|2026-09-02 09:41:04|2026-09-02 09:59:27|-155.0|sync|system|80.5|10.25||S3|NY
590|LONG|29193.25|29143.75|2026-09-02 10:37:17|2026-09-02 10:49:30|-99.0|sync|system|49.75|1.0||S4|NY
591|SHORT|29285.0|29355.0|2026-09-03 09:05:14|2026-09-03 09:20:45|-140.0|sync|reconcile|75.0|43.5|armed_fill|S1|NY
